key,en,es,ar,da,nl,fr,de,zh,sv,ru,ja,ko
OPEN_ENV,Open Environment,Entorno abierto,بيئة مفتوحة,Åbent miljø,Open omgeving,Environnement ouvert,Offene Umgebung,开放环境,Öppen miljö,Открытая среда,オープンな環境,개방형 환경
BEGIN_SPLASH,"To begin, select a directory to establish as the editor's environment. 
This is where the editor will save dialog categories .ydec files.

Selecting a minecraft world folder, or world/customnpcs
folder, will allow you to import existing dialogs, and access
named quests, factions, and proper dialog IDs","Para comenzar, seleccione un directorio para establecerlo como entorno del editor.
Aquí es donde el editor guardará los archivos .ydec de las categorías de diálogo.

Seleccionar una carpeta del mundo de Minecraft o world/customnpcs
carpeta, le permitirá importar cuadros de diálogo existentes y acceder
misiones con nombre, facciones e ID de diálogo adecuados","للبدء، حدد دليلاً لتأسيسه كبيئة للمحرر.
هذا هو المكان الذي سيحفظ فيه المحرر ملفات .ydec لفئات الحوار.

تحديد مجلد عالم ماين كرافت، أو العالم/customnpcs
سيسمح لك المجلد باستيراد مربعات الحوار الموجودة والوصول إليها
المهام المحددة والفصائل ومعرفات الحوار المناسبة","For at begynde skal du vælge en mappe, der skal oprettes som redaktørens miljø.
Det er her, editoren gemmer .ydec-filer for dialogkategorier.

Valg af en minecraft-verdensmappe eller world/customnpcs
mappe, giver dig mulighed for at importere eksisterende dialoger og få adgang
navngivne quests, fraktioner og korrekte dialog-id'er","Selecteer om te beginnen een map die u wilt instellen als de editoromgeving.
Dit is waar de editor .ydec-bestanden met dialoogcategorieën zal opslaan.

Een minecraft-wereldmap of world/customnpcs selecteren
map, kunt u bestaande dialoogvensters importeren en openen
benoemde speurtochten, facties en juiste dialoog-ID's","Pour commencer, sélectionnez un répertoire à établir comme environnement de l'éditeur.
C'est ici que l'éditeur enregistrera les fichiers .ydec des catégories de dialogue.

Sélection d'un dossier Minecraft World, ou world/customnpcs
dossier, vous permettra d'importer des boîtes de dialogue existantes et d'accéder
quêtes nommées, factions et identifiants de dialogue appropriés","Wählen Sie zunächst ein Verzeichnis aus, das als Umgebung für den Editor eingerichtet werden soll.
Hier speichert der Editor Dialogkategorien-.ydec-Dateien.

Auswählen eines Minecraft-Weltordners oder von world/customnpcs
Ordner ermöglicht Ihnen den Import vorhandener Dialoge und den Zugriff darauf
benannte Quests, Fraktionen und richtige Dialog-IDs","首先，选择一个目录作为编辑器的环境。
这是编辑器保存对话框类别 .ydec 文件的位置。

选择“我的世界”世界文件夹或“world/customnpcs”
文件夹，将允许您导入现有对话框并访问
命名任务、派系和正确的对话 ID","För att börja, välj en katalog att etablera som redigerarens miljö.
Det är här redigeraren sparar .ydec-filer för dialogkategorier.

Välja en Minecraft-världsmapp eller värld/anpassade datorer
mapp, låter dig importera befintliga dialoger och komma åt
namngivna uppdrag, fraktioner och korrekta dialog-ID","Для начала выберите каталог, который будет использоваться в качестве среды редактора.
Здесь редактор будет сохранять файлы категорий диалогов .ydec.

Выбор папки мира Minecraft или world/customnpcs
папка, позволит вам импортировать существующие диалоги и получить доступ
именованные квесты, фракции и правильные идентификаторы диалогов","まず、エディタの環境として確立するディレクトリを選択します。
これは、エディターがダイアログ カテゴリの .ydec ファイルを保存する場所です。

Minecraft のワールド フォルダー、または world/customnpcs の選択
フォルダーを使用すると、既存のダイアログをインポートしてアクセスできるようになります。
名前付きクエスト、派閥、および適切なダイアログ ID","시작하려면 편집기 환경으로 설정할 디렉터리를 선택합니다.
여기에 편집기가 대화 상자 카테고리 .ydec 파일을 저장합니다.

마인크래프트 월드 폴더 또는 world/customnpcs 선택
폴더를 사용하면 기존 대화 상자를 가져오고 액세스할 수 있습니다.
명명된 퀘스트, 세력 및 적절한 대화 ID"
RECENT_ENVS,Recently Opened Environments,Entornos abiertos recientemente,البيئات المفتوحة مؤخرًا,Nyligt åbnede miljøer,Recent geopende omgevingen,Environnements récemment ouverts,Kürzlich eröffnete Umgebungen,最近打开的环境,Nyligen öppnade miljöer,Недавно открытые среды,最近開いた環境,최근에 열린 환경
EDITOR_SETTINGS,Editor Settings,Configuración del editor,إعدادات المحرر,Editorindstillinger,Editor-instellingen,Paramètres de l'éditeur,Editor-Einstellungen,编辑器设置,Redaktörsinställningar,Настройки редактора,エディターの設定,에디터 설정
RETURN_HOME_BUTTON,Return To Home,Vuelve a casa,العودة إلى المنزل,Tilbage til Hjemmet,Terugkeren naar huis,Retourner à la maison,Nach Hause zurückkehren,返回首页,Återvända hem,Возвращаться домой,ホームに戻る,집으로 돌아가다
BLANK_EDITOR_LABEL,Choose or create a cateogry to start editing,Elija o cree una categoría para comenzar a editar,اختر أو أنشئ فئة لبدء التحرير,Vælg eller opret en kategori for at begynde at redigere,Kies of maak een categorie om te beginnen met bewerken,Choisissez ou créez une catégorie pour commencer l'édition,"Wählen oder erstellen Sie eine Kategorie, um mit der Bearbeitung zu beginnen",选择或创建一个类别以开始编辑,Välj eller skapa en kategori för att börja redigera,"Выберите или создайте категорию, чтобы начать редактирование.",カテゴリを選択または作成して編集を開始してください,편집을 시작하려면 카테고리를 선택하거나 생성하세요.
CATEGORIES_PANEL_LABEL,Categories,Categorías,فئات,Kategorier,Categorieën,Catégories,Kategorien,类别,Kategorier,Категории,カテゴリー,카테고리
CREATE_NEW_CATEGORY,Create New Category,Crear nueva categoría,إنشاء فئة جديدة,Opret ny kategori,Maak een nieuwe categorie,Créer une nouvelle catégorie,Neue Kategorie erstellen,创建新类别,Skapa ny kategori,Создать новую категорию,新しいカテゴリの作成,새 카테고리 만들기
SEARCH,Search,Buscar,يبحث,Søg,Zoekopdracht,Recherche,Suchen,搜索,Sök,Поиск,検索,찾다
INFORMATION_PANEL_LABEL,Information Panel,Panel de información,لوحة المعلومات,Informationspanel,Informatiepaneel,Panneau d'information,Informationstafel,信息面板,Informationspanel,Информационная панель,情報パネル,정보 패널
GENERAL,General,General,عام,Generel,Algemeen,Général,Allgemein,一般的,Allmän,Общий,一般的な,일반적인
AVAILABILITY,Availability,Disponibilidad,التوفر,Tilgængelighed,Beschikbaarheid,Disponibilité,Verfügbarkeit,可用性,Tillgänglighet,Доступность,可用性,유효성
MAIL,Mail,Correo,بريد,Post,Mail,Mail,Post,邮件,Post,Почта,郵便,우편
QUEST_AVAILABILITIES,Quest Availabilities,Disponibilidades de misiones,توافر كويست,Quest tilgængelighed,Quest-beschikbaarheid,Disponibilités des quêtes,Quest-Verfügbarkeiten,任务可用性,Quest Tillgänglighet,Доступные квесты,クエストの利用可能性,퀘스트 가용성
AV_ALWAYS,Always,Siempre,دائماً,Altid,Altijd,Toujours,Stets,总是,Alltid,Всегда,いつも,언제나
AV_BEFORE,Before,Antes,قبل,Før,Voor,Avant,Vor,前,Innan,До,前に,전에
AV_AFTER,After,Después,بعد,Efter,Na,Après,Nach,后,Efter,После,後,후에
AV_WHEN_NOT_ACTIVE,When Not Active,Cuando no está activo,عندما لا تكون نشطة,Når ikke aktiv,Wanneer niet actief,Lorsqu'il n'est pas actif,Wenn nicht aktiv,不活跃时,När inte aktiv,Когда не активен,非アクティブ時,활동하지 않을 때
AV_WHEN_ACTIVE,When Active,Cuando está activo,عندما تكون نشطة,Når aktiv,Wanneer actief,Lorsqu'il est actif,Wenn aktiv,活跃时,När aktiv,Когда активен,アクティブ時,활성 상태일 때
AV_COMPLETE,Objectives Complete,Objetivos completados,اكتملت الأهداف,Mål fuldført,Doelstellingen voltooid,Objectifs atteints,Ziele abgeschlossen,目标完成,Mål slutförda,Цели выполнены,目標は完了しました,목표 완료
DIALOG_AVAILABILITIES,Dialog Availabilities,Disponibilidades de diálogo,توافر الحوار,Dialogtilgængeligheder,Dialoogvenster Beschikbaarheden,Disponibilités des boîtes de dialogue,Dialogverfügbarkeiten,对话框可用性,Dialogtillgänglighet,Доступность диалогов,ダイアログの利用可能性,대화상자 가용성
FACTION_AVAILABILITIES,Faction Availabilities,Disponibilidades de facción,توفر الفصائل,Fraktions tilgængelighed,Beschikbaarheid van facties,Disponibilités des factions,Fraktionsverfügbarkeiten,派系可用性,Fraktionens tillgänglighet,Доступность фракций,勢力の利用可能性,세력 가용성
FACTION_FRIENDLY,Friendly,Amigable,ودي,Venlige,Vriendelijk,Amical,Freundlich,友好的,Vänlig,Дружелюбно,フレンドリー,친숙한
FACTION_NEUTRAL,Neutral,Neutral,حيادي,Neutral,Neutrale,Neutre,Neutral,中性的,Neutral,Нейтральный,中性,중립적
FACTION_UNFRIENDLY,Unfriendly,Antipático,غير ودي,Uvenlig,Onvriendelijk,Hostile,Unfreundlich,不友好,Ovänlig,Недружелюбный,不親切な,해로운
SCORE_AVAILABILITIES,Scoreboard Availabilities,Disponibilidades del marcador,توافر لوحة النتائج,Tilgængeligheder på resultattavlen,Beschikbaarheid scorebord,Disponibilités du tableau de bord,Verfügbarkeiten der Anzeigetafel,记分板可用性,Tillgänglighet för resultattavlan,Наличие табло,スコアボードの利用可能性,스코어보드 가용성
OBJECTIVE_NAME,Objective Name,Nombre del objetivo,اسم الهدف,Målnavn,Objectieve naam,Nom de l'objectif,Zielname,目标名称,Målnamn,Имя цели,目標名,목표 이름
SCORE_EQUALS,Equals,igual,يساوي,Lige med,Gelijk aan,Équivaut à,Gleich,等于,Lika,Равно,等しい,같음
SCORE_BIGGER,Bigger Than,Más grande que,أكبر من,Større end,Groter dan,Plus grand que,Größer als,大于,Större än,Больше чем,より大きい,보다 큰
SCORE_SMALLER,Smaller Than,Menor que,اصغر من,Mindre end,Kleiner dan,Plus petit que,Kleiner als,小于,Mindre än,Меньше чем,より小さい,보다 작은
